kpi,p10,p25,p50,p75,p90,mean,std,count
net_profit_margin_pct,3.150852451695097,7.118191485736057,13.568659149787532,21.216269859040683,28.674076514747178,19.89459721151502,45.084723479344326,92
operating_profit_margin_pct,9.629359371580708,14.314419657670308,26.311182598120226,40.42541241553181,79.39942627879638,34.00822189802554,27.324514160523414,92
return_on_equity_pct,7.107361195523936,12.66794941671071,17.08003068268985,23.986047959238043,38.65384615384615,126.3326606103604,672.1849917976037,91
debt_to_equity,0.0025941975815990856,0.041250987061372035,0.38539770662275724,1.6685198185803718,6.438637545644947,1.623850499381489,2.8266964264727568,92
interest_coverage,1.5460276285190568,3.0450581395348837,8.686567164179104,50.391304347826086,153.62176223776225,91.18788343349856,469.74318782530736,89
asset_turnover,0.0834385221717229,0.21786563413385937,0.6551470588235294,1.1219947095606488,1.609982091411664,3.1969327735424478,13.537513973228013,91
free_cash_flow_cr,-14435.1,-1290.0,1095.0,8348.5,20412.2,893.6086956521739,23126.51041124108,92
earnings_per_share,6.0,16.0,46.0,78.0,156.0,82.08791208791209,133.21616921810858,91
revenue_cagr_5yr,6.531523668017103,9.316009666212121,12.649883015403462,18.42838548777147,23.86901095947904,14.196465544900823,7.971056519988555,91
pat_cagr_5yr,3.6687222720847013,9.945537324055898,17.44867621261279,25.613841553575732,48.82530583882819,21.4657207700013,22.70095791842737,85
